query_idx,bucket,input_tokens,condition,cloud,model,latency_ms,cost_usd,success
0,short,91,static_aws,aws,mistral-7b,844.8,0.04017,True
0,short,91,static_azure,azure,mistral-7b,932.0,0.03488,True
0,short,91,round_robin,aws,mistral-7b,844.8,0.04017,True
0,short,91,predictive,aws,mistral-7b,844.8,0.04017,True
1,short,18,static_aws,aws,mistral-7b,844.8,0.02302,True
1,short,18,static_azure,azure,mistral-7b,932.0,0.01999,True
1,short,18,round_robin,azure,mistral-7b,932.0,0.01999,True
1,short,18,predictive,aws,mistral-7b,844.8,0.02302,True
2,medium,132,static_aws,aws,mistral-7b,844.8,0.11322,True
2,medium,132,static_azure,azure,mistral-7b,932.0,0.09833,True
2,medium,132,round_robin,aws,mistral-7b,844.8,0.11322,True
2,medium,132,predictive,aws,mistral-7b,844.8,0.11322,True
3,medium,200,static_aws,aws,mistral-7b,844.8,0.1292,True
3,medium,200,static_azure,azure,mistral-7b,932.0,0.1122,True
3,medium,200,round_robin,azure,mistral-7b,932.0,0.1122,True
3,medium,200,predictive,aws,mistral-7b,844.8,0.1292,True
4,short,12,static_aws,aws,mistral-7b,844.8,0.02161,True
4,short,12,static_azure,azure,mistral-7b,932.0,0.01877,True
4,short,12,round_robin,aws,mistral-7b,844.8,0.02161,True
4,short,12,predictive,aws,mistral-7b,844.8,0.02161,True
